code,name,gender,country,team_code
1533246,PEDRERO Ofelia,Female,Mexico,ARCMTEAM3---CHN01
1535775,RADHI SHENAISHIL,Male,Iraq,ARCMTEAM3---COL01
1536055,AFLAKIKHAMSEH Majid,Male,IR Iran,ARCMTEAM3---FRA01
1536059,YOUSEFY Mehrdad,Male,IR Iran,ARCMTEAM3---GBR01
1536060,MADDAH Minoo,Female,IR Iran,ARCMTEAM3---IND01
1536328,LOFTUS Adriana,Female,Mexico,ARCMTEAM3---ITA01
1538313,FERRARA Fernando,Male,Argentina,ARCMTEAM3---JPN01
1538315,GULLA Alejandra,Female,Argentina,ARCMTEAM3---KAZ01
1538317,CAPURRO Santiago,Male,Argentina,ARCMTEAM3---KOR01
1538745,RONCONI Mariano,Male,Argentina,ARCMTEAM3---MEX01
1538748,PAULON Ezequiel,Male,Argentina,ARCMTEAM3---TPE01
1538751,VILA Matias,Male,Argentina,ARCMTEAM3---TUR01
1539598,KHEIRKHAH HAJIRASOULIAN Mohammadre.,Male,IR Iran,ARCWTEAM3---CHN01
1540258,DAVIS DIAZ David,Male,Mexico,ARCWTEAM3---FRA01
1540259,MENDOZA MORA Abel,Male,Mexico,ARCWTEAM3---GBR01
1540260,VICTORIA ESPINOSA de los Alfonso,Male,Mexico,ARCWTEAM3---GER01
1540522,MILANO Guillermo,Male,Argentina,ARCWTEAM3---INA01
1540638,GOMEZ CORA Santiago,Male,Argentina,ARCWTEAM3---IND01
1540639,GRAVANO Leonardo,Male,Argentina,ARCWTEAM3---KOR01
1540840,FILIORIANU Ana Luiza,Female,Romania,ARCWTEAM3---MAS01
1542341,SMAILI Badr,Male,Morocco,ARCWTEAM3---MEX01
1542904,OCEGUERA ORNELAS Pavel,Male,Mexico,ARCWTEAM3---NED01
1542908,VALENZUELA GOMEZ Maria,Female,Mexico,ARCWTEAM3---TPE01
1542913,MEZA PADILLA Jose,Male,Mexico,ARCWTEAM3---USA01
1542973,AGUILAR ROJAS Blajaith,Female,Mexico,ARCXTEAM2---AUS01
1542976,FURALEV Vladislav,Male,Mexico,ARCXTEAM2---BRA01
1543567,UPTON Patrick Anthony Howard,Male,India,ARCXTEAM2---CAN01
1543570,SCHOPMAN Johanna Dorothea Maria,Female,India,ARCXTEAM2---CHN01
1543575,HALKETT Rhett Kennedy,Male,India,ARCXTEAM2---COL01
1543576,FULTON Craig Arthur,Male,India,ARCXTEAM2---CZE01
1543577,FARRY Anthony James,Male,India,ARCXTEAM2---EGY01
1544157,THORPE Karen,Female,Great Britain,ARCXTEAM2---ESP01
1544158,TOMOMATSU Yumiko,Female,Great Britain,ARCXTEAM2---FRA01
1544489,CURRAN Orlaith,Female,Ireland,ARCXTEAM2---GBR01
1545106,NASKAR Arup,Male,India,ARCXTEAM2---GER01
1545139,CHINNASAMY Ashok Kumar,Male,India,ARCXTEAM2---INA01
1545947,BUSNARI Alberto,Male,Italy,ARCXTEAM2---IND01
1545949,COCCIARO Giuseppe,Male,Italy,ARCXTEAM2---ISR01
1545950,FORTUNA Marco,Male,Italy,ARCXTEAM2---ITA01
1545955,BERGAMELLI Monica Roberta,Female,Italy,ARCXTEAM2---JPN01
1546310,CHIRILCENCO Marc Michel,Male,Algeria,ARCXTEAM2---KOR01
1546312,HAMICI Saad Eddine,Male,Algeria,ARCXTEAM2---MDA01
1546698,HERRANZ MARTIN Miguel Angel,Male,Spain,ARCXTEAM2---MEX01
1546699,RAMAL MUNOZ Jesus,Male,Spain,ARCXTEAM2---NED01
1546700,SEIJO GIEBELS Christian Jaime,Male,Spain,ARCXTEAM2---SLO01
1546701,TOLEDO AROCA Antonio,Male,Spain,ARCXTEAM2---TPE01
1546702,YAGUE ENRIQUE Brigida,Female,Spain,ARCXTEAM2---TUR01
1548427,JONES Gilmar,Male,Suriname,ARCXTEAM2---UKR01
1548848,DIMITROVA Vesela,Female,Bulgaria,ARCXTEAM2---USA01
1548875,STOYNEVA Yasena,Female,Bulgaria,ARCXTEAM2---UZB01
1548895,MARKOVA Branimira,Female,Bulgaria,ARCXTEAM2---VIE01
1548902,PAMUKOVA Mariyana,Female,Bulgaria,ATHM4X100M--AUS01
1548919,IVANOVA Valentina,Female,Bulgaria,ATHM4X100M--BRA01
1549452,LEE Eui Yong,Male,Gambia,ATHM4X100M--CAN01
1550038,ARILL Samuel,Male,Puerto Rico,ATHM4X100M--CHN01
1550039,MORALES OTERO Carlos,Male,Puerto Rico,ATHM4X100M--FRA01
1550047,BATISTA Gerardo,Male,Puerto Rico,ATHM4X100M--GBR01
1550196,COTUTIU Florin,Male,Romania,ATHM4X100M--GER01
1550198,JONES Daymon,Male,Romania,ATHM4X100M--GHA01
1550199,KIENS Patrick,Male,Romania,ATHM4X100M--ITA01
1550201,MOROSAN Corina,Female,Romania,ATHM4X100M--JAM01
1550203,VOINEA Camelia,Female,Romania,ATHM4X100M--JPN01
1550267,BERBECAR Marius,Male,Romania,ATHM4X100M--LBR01
1552001,LIU Tsung-Ta,Male,Chinese Taipei,ATHM4X100M--NED01
1555083,GEORGALLAS Irodotos,Male,Cyprus,ATHM4X100M--NGR01
1555113,PETRIDIS Panagiotis,Male,Cyprus,ATHM4X100M--RSA01
1555115,FLANNERY Eimear,Female,Ireland,ATHM4X100M--USA01
1555131,SHIPPI Panayiotis,Male,Cyprus,ATHM4X400M--BEL01
1555182,TRIKOMITI Chrystalleni,Female,Cyprus,ATHM4X400M--BOT01
1556249,DEACU George,Male,Romania,ATHM4X400M--BRA01
1556255,RATH Bogdan,Male,Romania,ATHM4X400M--ESP01
1557013,ARIAS Ramon,Male,Chile,ATHM4X400M--FRA01
1559048,WIBERG Johanna,Female,Sweden,ATHM4X400M--GBR01
1559066,FORSBERG Thomas,Male,Sweden,ATHM4X400M--GER01
1559067,AXNER Tomas,Male,Sweden,ATHM4X400M--IND01
1560169,DIOVOL Alioune,Male,Senegal,ATHM4X400M--ITA01
1561282,da ROCHA Cristiano,Male,Brazil,ATHM4X400M--JPN01
1561719,ALTENBURG Valentin,Male,Germany,ATHM4X400M--NGR01
1561732,HENNING Andre,Male,Germany,ATHM4X400M--POL01
1561734,SCHMITZ Johannes,Male,Germany,ATHM4X400M--RSA01
1561740,ARKELL Robin,Male,Germany,ATHM4X400M--TTO01
1561741,GADEMAN Pasha,Male,Germany,ATHM4X400M--USA01
1562260,WEIDINGER Markus,Male,Austria,ATHM4X400M--ZAM01
1562563,SOLBERG Glenn,Male,Sweden,ATHW4X100M--AUS01
1562564,SVENSSON Tomas,Male,Sweden,ATHW4X100M--BEL01
1562566,APELGREN Michael,Male,Sweden,ATHW4X100M--CAN01
1562778,TANKOUCHEV Milko,Male,Bulgaria,ATHW4X100M--CIV01
1562790,YANEV Filip,Male,Bulgaria,ATHW4X100M--ESP01
1562963,WINIARSKI Michal,Male,Germany,ATHW4X100M--FRA01
1562973,RANNER Thomas,Male,Germany,ATHW4X100M--GBR01
1562974,POSMYK Dominik,Male,Germany,ATHW4X100M--GER01
1563661,SALLAH Mariama M.,Female,Gambia,ATHW4X100M--ITA01
1563956,TUMILTY Mark,Male,Ireland,ATHW4X100M--JAM01
1563966,TOTH Balazs,Male,Germany,ATHW4X100M--NED01
1564287,QUSAI MUNIR,Male,Iraq,ATHW4X100M--NGR01
1564321,CRUZ LOPEZ Jose L,Male,Puerto Rico,ATHW4X100M--POL01
1564323,COLON Nelson,Male,Puerto Rico,ATHW4X100M--SUI01
1564325,CRUZ Rafael,Male,Puerto Rico,ATHW4X100M--TTO01
1564413,BESHEER Gamal,Male,Egypt,ATHW4X100M--USA01
1564469,MOHAMED Ahmed,Male,Egypt,ATHW4X400M--BEL01
1564470,ABDELMEGUID Zakaria,Male,Egypt,ATHW4X400M--CAN01
1564477,MOHAMED Mayar,Female,Egypt,ATHW4X400M--CUB01
1564481,HUSSEIN Noha,Female,Egypt,ATHW4X400M--ESP01
1565043,MOUNDOUNGA KOMBILA Stephane,Male,Gabon,ATHW4X400M--FRA01
1565143,MLADENOVA Albena,Female,Austria,ATHW4X400M--GBR01
1565591,AL-ASSAF Faris,Male,Jordan,ATHW4X400M--GER01
1565609,ALSADEQ Yazan,Male,Jordan,ATHW4X400M--IND01
1565612,ALJALLAD Riham,Female,Jordan,ATHW4X400M--IRL01
1565657,KRAVCHENKO Sergiy,Male,Ukraine,ATHW4X400M--ITA01
1565672,ROTAN Ruslan,Male,Ukraine,ATHW4X400M--JAM01
1565759,SIREKANYAN Gurgen,Male,Jordan,ATHW4X400M--NED01
1566325,FREHSE Gabriele,Female,Austria,ATHW4X400M--NOR01
1566746,SAHIN Ali,Male,Türkiye,ATHW4X400M--POL01
1566749,TAZEGUL Servet,Male,Türkiye,ATHW4X400M--SUI01
1567065,BABEL Vincent,Male,Suriname,ATHW4X400M--USA01
1568152,GOKTEKIN Yilmaz,Male,Türkiye,ATHX42KWALKTAUS01
1568153,NURI Tufan,Male,Türkiye,ATHX42KWALKTAUS02
1568648,GOJKOVIC Vladimir,Male,Montenegro,ATHX42KWALKTBRA01
1569994,TOMAS Toni,Male,Great Britain,ATHX42KWALKTCAN01
1569995,LAURA Veljko,Male,Croatia,ATHX42KWALKTCHN01
1569996,MESAROV Dejan,Male,Croatia,ATHX42KWALKTCHN02
1572261,GALAMBOS Bence,Male,Hungary,ATHX42KWALKTCOL01
1572269,MARTON Luana,Female,Hungary,ATHX42KWALKTCOL02
1572364,SALIM Gergely,Male,Hungary,ATHX42KWALKTCZE01
1572370,SALIM Sharif Gergely,Male,Hungary,ATHX42KWALKTECU01
1572373,MIKKONEN Suvi,Female,Hungary,ATHX42KWALKTESP01
1572650,ROUSSEAUX Emile,Male,France,ATHX42KWALKTESP02
1572652,ANDRE Felix,Male,France,ATHX42KWALKTFRA01
1572654,GAUTHIER Charles,Male,France,ATHX42KWALKTGER01
1573466,TOUPANE Jean Aime,Male,France,ATHX42KWALKTHUN01
1573467,MELAIN Catherine,Female,France,ATHX42KWALKTIND01
1573468,GAUTIER David,Male,France,ATHX42KWALKTITA01
1573469,HALIN Gregory,Male,France,ATHX42KWALKTJPN01
1573470,LEONARD Christophe,Male,France,ATHX42KWALKTJPN02
1573668,COLLET Vincent,Male,France,ATHX42KWALKTMEX01
1573669,DONNADIEU Pascal,Male,France,ATHX42KWALKTPER01
1573670,ATKINSON Kenny,Male,France,ATHX42KWALKTPOL01
1573671,NELHOMME Ruddy,Male,France,ATHX42KWALKTSVK01
1573672,GOMIS Joseph,Male,France,ATHX42KWALKTTUR01
1574076,CIAMARRA Roberto,Male,France,ATHX42KWALKTUKR01
1574080,GEILER Loic,Male,France,ATHX4X400M--BAH01
1574082,GIANI Andrea,Male,France,ATHX4X400M--BEL01
1830240,WENG Shih-Hang,Male,Chinese Taipei,ATHX4X400M--DOM01
1835894,TSAI Heng-Cheng,Male,Chinese Taipei,ATHX4X400M--FRA01
1878950,SANTARELLI Daniele,Male,Türkiye,ATHX4X400M--GBR01
1878952,FLISI Diego,Male,Türkiye,ATHX4X400M--GER01
1878956,ZOTTA Andrea,Male,Türkiye,ATHX4X400M--IRL01
1879044,VATANSEVER Recep,Male,Türkiye,ATHX4X400M--ITA01
1879645,DARET Jerome,Male,France,ATHX4X400M--JAM01
1879871,KRUMBHOLZ Olivier,Male,France,ATHX4X400M--KEN01
1879872,GARDILLOU Sebastien,Male,France,ATHX4X400M--NED01
1879875,LEYNAUD Amandine,Female,France,ATHX4X400M--NGR01
1880219,GALKIN Evgeniy,Male,Uzbekistan,ATHX4X400M--POL01
1880226,ABDUSAMATOV Khusniddin,Male,Uzbekistan,ATHX4X400M--SUI01
1880388,MWEMA Kevin,Male,Kenya,ATHX4X400M--UKR01
