country_code,country
USA,United States
CHN,China
JPN,Japan
AUS,Australia
FRA,France
NED,Netherlands
GBR,Great Britain
KOR,Korea
ITA,Italy
GER,Germany
NZL,New Zealand
CAN,Canada
UZB,Uzbekistan
HUN,Hungary
ESP,Spain
SWE,Sweden
KEN,Kenya
NOR,Norway
IRL,Ireland
BRA,Brazil
IRI,IR Iran
UKR,Ukraine
ROU,Romania
GEO,Georgia
BEL,Belgium
BUL,Bulgaria
SRB,Serbia
CZE,Czechia
DEN,Denmark
AZE,Azerbaijan
CRO,Croatia
CUB,Cuba
BRN,Bahrain
SLO,Slovenia
TPE,Chinese Taipei
AUT,Austria
HKG,"Hong Kong, China"
PHI,Philippines
ALG,Algeria
INA,Indonesia
ISR,Israel
POL,Poland
KAZ,Kazakhstan
JAM,Jamaica
RSA,South Africa
THA,Thailand
AIN,AIN
ETH,Ethiopia
SUI,Switzerland
ECU,Ecuador
POR,Portugal
GRE,Greece
ARG,Argentina
EGY,Egypt
TUN,Tunisia
BOT,Botswana
CHI,Chile
LCA,Saint Lucia
UGA,Uganda
DOM,Dominican Republic
GUA,Guatemala
MAR,Morocco
DMA,Dominica
PAK,Pakistan
TUR,Türkiye
MEX,Mexico
ARM,Armenia
COL,Colombia
PRK,DPR Korea
KGZ,Kyrgyzstan
LTU,Lithuania
IND,India
MDA,Republic of Moldova
KOS,Kosovo
CYP,Cyprus
FIJ,Fiji
JOR,Jordan
MGL,Mongolia
PAN,Panama
TJK,Tajikistan
ALB,Albania
GRN,Grenada
MAS,Malaysia
PUR,Puerto Rico
CPV,Cabo Verde
CIV,Côte d'Ivoire
EOR,EOR
PER,Peru
QAT,Qatar
SGP,Singapore
SVK,Slovakia
ZAM,Zambia
