code,num_athletes,country,discipline,team_gender
ARCMTEAM3---CHN01,3,China,Archery,M
ARCMTEAM3---COL01,3,Colombia,Archery,M
ARCMTEAM3---FRA01,3,France,Archery,M
ARCMTEAM3---GBR01,3,Great Britain,Archery,M
ARCMTEAM3---IND01,3,India,Archery,M
ARCMTEAM3---ITA01,3,Italy,Archery,M
ARCMTEAM3---JPN01,3,Japan,Archery,M
ARCMTEAM3---KAZ01,3,Kazakhstan,Archery,M
ARCMTEAM3---KOR01,3,Korea,Archery,M
ARCMTEAM3---MEX01,3,Mexico,Archery,M
ARCMTEAM3---TPE01,3,Chinese Taipei,Archery,M
ARCMTEAM3---TUR01,3,Türkiye,Archery,M
ARCWTEAM3---CHN01,3,China,Archery,W
ARCWTEAM3---FRA01,3,France,Archery,W
ARCWTEAM3---GBR01,3,Great Britain,Archery,W
ARCWTEAM3---GER01,3,Germany,Archery,W
ARCWTEAM3---INA01,3,Indonesia,Archery,W
ARCWTEAM3---IND01,3,India,Archery,W
ARCWTEAM3---KOR01,3,Korea,Archery,W
ARCWTEAM3---MAS01,3,Malaysia,Archery,W
ARCWTEAM3---MEX01,3,Mexico,Archery,W
ARCWTEAM3---NED01,3,Netherlands,Archery,W
ARCWTEAM3---TPE01,3,Chinese Taipei,Archery,W
ARCWTEAM3---USA01,3,United States,Archery,W
ARCXTEAM2---AUS01,2,Australia,Archery,X
ARCXTEAM2---BRA01,2,Brazil,Archery,X
ARCXTEAM2---CAN01,2,Canada,Archery,X
ARCXTEAM2---CHN01,2,China,Archery,X
ARCXTEAM2---COL01,2,Colombia,Archery,X
ARCXTEAM2---CZE01,2,Czechia,Archery,X
ARCXTEAM2---EGY01,2,Egypt,Archery,X
ARCXTEAM2---ESP01,2,Spain,Archery,X
ARCXTEAM2---FRA01,2,France,Archery,X
ARCXTEAM2---GBR01,2,Great Britain,Archery,X
ARCXTEAM2---GER01,2,Germany,Archery,X
ARCXTEAM2---INA01,2,Indonesia,Archery,X
ARCXTEAM2---IND01,2,India,Archery,X
ARCXTEAM2---ISR01,2,Israel,Archery,X
ARCXTEAM2---ITA01,2,Italy,Archery,X
ARCXTEAM2---JPN01,2,Japan,Archery,X
ARCXTEAM2---KOR01,2,Korea,Archery,X
ARCXTEAM2---MDA01,2,Republic of Moldova,Archery,X
ARCXTEAM2---MEX01,2,Mexico,Archery,X
ARCXTEAM2---NED01,2,Netherlands,Archery,X
ARCXTEAM2---SLO01,2,Slovenia,Archery,X
ARCXTEAM2---TPE01,2,Chinese Taipei,Archery,X
ARCXTEAM2---TUR01,2,Türkiye,Archery,X
ARCXTEAM2---UKR01,2,Ukraine,Archery,X
ARCXTEAM2---USA01,2,United States,Archery,X
ARCXTEAM2---UZB01,2,Uzbekistan,Archery,X
ARCXTEAM2---VIE01,2,Vietnam,Archery,X
ATHM4X100M--AUS01,6,Australia,Athletics,M
ATHM4X100M--BRA01,5,Brazil,Athletics,M
ATHM4X100M--CAN01,6,Canada,Athletics,M
ATHM4X100M--CHN01,5,China,Athletics,M
ATHM4X100M--FRA01,7,France,Athletics,M
ATHM4X100M--GBR01,5,Great Britain,Athletics,M
ATHM4X100M--GER01,6,Germany,Athletics,M
ATHM4X100M--GHA01,5,Ghana,Athletics,M
ATHM4X100M--ITA01,7,Italy,Athletics,M
ATHM4X100M--JAM01,5,Jamaica,Athletics,M
ATHM4X100M--JPN01,6,Japan,Athletics,M
ATHM4X100M--LBR01,5,Liberia,Athletics,M
ATHM4X100M--NED01,5,Netherlands,Athletics,M
ATHM4X100M--NGR01,4,Nigeria,Athletics,M
ATHM4X100M--RSA01,5,South Africa,Athletics,M
ATHM4X100M--USA01,6,United States,Athletics,M
ATHM4X400M--BEL01,7,Belgium,Athletics,M
ATHM4X400M--BOT01,6,Botswana,Athletics,M
ATHM4X400M--BRA01,5,Brazil,Athletics,M
ATHM4X400M--ESP01,5,Spain,Athletics,M
ATHM4X400M--FRA01,6,France,Athletics,M
ATHM4X400M--GBR01,7,Great Britain,Athletics,M
ATHM4X400M--GER01,7,Germany,Athletics,M
ATHM4X400M--IND01,5,India,Athletics,M
ATHM4X400M--ITA01,9,Italy,Athletics,M
ATHM4X400M--JPN01,5,Japan,Athletics,M
ATHM4X400M--NGR01,6,Nigeria,Athletics,M
ATHM4X400M--POL01,6,Poland,Athletics,M
ATHM4X400M--RSA01,5,South Africa,Athletics,M
ATHM4X400M--TTO01,5,Trinidad and Tobago,Athletics,M
ATHM4X400M--USA01,8,United States,Athletics,M
ATHM4X400M--ZAM01,5,Zambia,Athletics,M
ATHW4X100M--AUS01,6,Australia,Athletics,W
ATHW4X100M--BEL01,6,Belgium,Athletics,W
ATHW4X100M--CAN01,5,Canada,Athletics,W
ATHW4X100M--CIV01,5,Côte d'Ivoire,Athletics,W
ATHW4X100M--ESP01,6,Spain,Athletics,W
ATHW4X100M--FRA01,6,France,Athletics,W
ATHW4X100M--GBR01,6,Great Britain,Athletics,W
ATHW4X100M--GER01,5,Germany,Athletics,W
ATHW4X100M--ITA01,6,Italy,Athletics,W
ATHW4X100M--JAM01,6,Jamaica,Athletics,W
ATHW4X100M--NED01,6,Netherlands,Athletics,W
ATHW4X100M--NGR01,5,Nigeria,Athletics,W
ATHW4X100M--POL01,5,Poland,Athletics,W
ATHW4X100M--SUI01,6,Switzerland,Athletics,W
ATHW4X100M--TTO01,5,Trinidad and Tobago,Athletics,W
ATHW4X100M--USA01,6,United States,Athletics,W
ATHW4X400M--BEL01,7,Belgium,Athletics,W
ATHW4X400M--CAN01,6,Canada,Athletics,W
ATHW4X400M--CUB01,6,Cuba,Athletics,W
ATHW4X400M--ESP01,5,Spain,Athletics,W
ATHW4X400M--FRA01,7,France,Athletics,W
ATHW4X400M--GBR01,8,Great Britain,Athletics,W
ATHW4X400M--GER01,6,Germany,Athletics,W
ATHW4X400M--IND01,5,India,Athletics,W
ATHW4X400M--IRL01,6,Ireland,Athletics,W
ATHW4X400M--ITA01,7,Italy,Athletics,W
ATHW4X400M--JAM01,8,Jamaica,Athletics,W
ATHW4X400M--NED01,7,Netherlands,Athletics,W
ATHW4X400M--NOR01,6,Norway,Athletics,W
ATHW4X400M--POL01,6,Poland,Athletics,W
ATHW4X400M--SUI01,7,Switzerland,Athletics,W
ATHW4X400M--USA01,8,United States,Athletics,W
ATHX42KWALKTAUS01,2,Australia,Athletics,X
ATHX42KWALKTAUS02,2,Australia,Athletics,X
ATHX42KWALKTBRA01,2,Brazil,Athletics,X
ATHX42KWALKTCAN01,2,Canada,Athletics,X
ATHX42KWALKTCHN01,2,China,Athletics,X
ATHX42KWALKTCHN02,2,China,Athletics,X
ATHX42KWALKTCOL01,2,Colombia,Athletics,X
ATHX42KWALKTCOL02,2,Colombia,Athletics,X
ATHX42KWALKTCZE01,2,Czechia,Athletics,X
ATHX42KWALKTECU01,2,Ecuador,Athletics,X
ATHX42KWALKTESP01,2,Spain,Athletics,X
ATHX42KWALKTESP02,2,Spain,Athletics,X
ATHX42KWALKTFRA01,2,France,Athletics,X
ATHX42KWALKTGER01,2,Germany,Athletics,X
ATHX42KWALKTHUN01,2,Hungary,Athletics,X
ATHX42KWALKTIND01,2,India,Athletics,X
ATHX42KWALKTITA01,2,Italy,Athletics,X
ATHX42KWALKTJPN01,2,Japan,Athletics,X
ATHX42KWALKTJPN02,2,Japan,Athletics,X
ATHX42KWALKTMEX01,3,Mexico,Athletics,X
ATHX42KWALKTPER01,2,Peru,Athletics,X
ATHX42KWALKTPOL01,2,Poland,Athletics,X
ATHX42KWALKTSVK01,2,Slovakia,Athletics,X
ATHX42KWALKTTUR01,2,Türkiye,Athletics,X
ATHX42KWALKTUKR01,2,Ukraine,Athletics,X
