code,name,gender,function,disciplines
1536406,FRATINI Elisabetta,Female,Referee,['Judo']
1550583,ILIC Corina,Female,Referee,['Judo']
1550593,MAAFI Ziad,Male,Referee,['Judo']
1550642,FUMEA Maria,Female,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550643,LEUNG Li Li,Female,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550645,MIAO Zhongyi,Male,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550646,VALENZO AOKI Naomi Chieko,Female,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550647,AL HITMI Ali,Male,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550648,AL TABBAA Mouhammed Youssef,Male,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550649,CELEN Suat,Male,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550650,ESAWY Ehab,Male,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550651,YAGI KITAGAWA Tammy,Female,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550652,VALERIO Rogerio,Male,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550653,MOWBRAY Denis,Male,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550654,PEGAN Aljaz,Male,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550655,PENICHE FRANCO Alejandro,Male,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550656,PERRIERE Charles,Male,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550657,TAEYMANS Rosy,Female,Judge,"['Artistic Gymnastics', 'Rhythmic Gymnastics', 'Trampoline Gymnastics']"
1550662,ACOSTA RODRIGUEZ Laura Patricia,Female,Judge,['Rhythmic Gymnastics']
1550672,BEDOSHVILI Eliso,Female,Judge,['Rhythmic Gymnastics']
1550674,BOJAKOWSKI Konrad,Male,Judge,['Trampoline Gymnastics']
